record_id,collection_month,year,month,month_name,city,state,e_waste_type,collection_channel,sector,e_waste_collected_kg,formal_collected_kg,informal_collected_kg,material_recovered_kg,disposed_kg,hazardous_kg,estimated_jobs_supported,estimated_revenue_inr,recovery_rate_pct,compliance_score_pct,worker_safety_score_pct,primary_material,recycling_method,quarter,formal_share_pct,informal_share_pct,recovery_value_inr_per_kg
EW100277,2023-02-01,2023,2,Feb,Ahmedabad,Gujarat,Refrigerator,Scrap Dealer,Informal,2580,372.58,2207.42,1450.53,1129.47,147.9,6,51429.3,56.22,11.97,59.39,Ferrous Metals,Dismantling,Q1,14.44,85.56,35.46
EW100400,2023-02-01,2023,2,Feb,Ahmedabad,Gujarat,Printer,Informal Collector,Informal,3109,623.91,2485.09,790.37,2318.63,203.54,13,67299.75,25.42,6.41,53.58,Ferrous Metals,Manual Sorting,Q1,20.07,79.93,85.15
EW100742,2023-02-01,2023,2,Feb,Ahmedabad,Gujarat,Small Appliance,Authorized Collection Center,Formal,673,650.88,22.12,629.19,43.81,53.23,1,38393.07,93.49,75.61,75.95,Plastic,Manual Sorting,Q1,96.71,3.29,61.02
EW100319,2023-02-01,2023,2,Feb,Surat,Gujarat,Desktop/PC,Retailer,Formal,4376,3859.24,516.76,3893.58,482.42,462.9,7,575202.11,88.98,91.15,92.38,Aluminium,Material Recovery,Q1,88.19,11.81,147.73
EW100339,2023-02-01,2023,2,Feb,Surat,Gujarat,Small Appliance,Retailer,Formal,3336,2414.55,921.45,2483.06,852.94,360.18,3,236370.66,74.43,75.34,86.48,Non-ferrous Metals,Manual Sorting,Q1,72.38,27.62,95.19
EW100715,2023-02-01,2023,2,Feb,Mysuru,Karnataka,Television,Informal Collector,Informal,4729,1100.73,3628.27,2394.49,2334.51,273.98,17,156879.67,50.63,17.73,30.8,Non-ferrous Metals,Refurbishment,Q1,23.28,76.72,65.52
EW100459,2023-02-01,2023,2,Feb,Kochi,Kerala,Tablet,Municipal Collection,Formal,185,167.77,17.23,154.0,31.0,13.75,1,15749.48,83.24,80.9,96.96,Aluminium,Landfill/Disposal,Q1,90.69,9.31,102.27
EW100509,2023-02-01,2023,2,Feb,Bhopal,Madhya Pradesh,Printer,Municipal Collection,Formal,3067,2794.71,272.29,2149.37,917.63,191.23,6,147720.83,70.08,77.77,82.83,Non-ferrous Metals,Refurbishment,Q1,91.12,8.88,68.73
EW100795,2023-02-01,2023,2,Feb,Bhopal,Madhya Pradesh,Television,Retailer,Formal,2262,2152.69,109.31,1734.05,527.95,97.89,2,64066.93,76.66,85.15,79.5,Copper,Refurbishment,Q1,95.17,4.83,36.95
EW101077,2023-02-01,2023,2,Feb,Bhopal,Madhya Pradesh,Desktop/PC,Scrap Dealer,Informal,4462,384.2,4077.8,1577.76,2884.24,329.97,16,82973.13,35.36,12.02,31.12,Copper,Repair & Reuse,Q1,8.61,91.39,52.59
EW100807,2023-02-01,2023,2,Feb,Indore,Madhya Pradesh,Mobile Phone,Municipal Collection,Formal,4763,3863.38,899.62,4302.38,460.62,197.14,8,239207.63,90.33,91.92,96.72,Non-ferrous Metals,Landfill/Disposal,Q1,81.11,18.89,55.6
EW101129,2023-02-01,2023,2,Feb,Indore,Madhya Pradesh,Mobile Phone,Retailer,Formal,2819,2522.42,296.58,2640.0,179.0,315.9,5,132706.09,93.65,80.75,79.48,Glass,Landfill/Disposal,Q1,89.48,10.52,50.27
EW100001,2023-02-01,2023,2,Feb,Mumbai,Maharashtra,Laptop,Informal Collector,Informal,4923,127.98,4795.02,2264.14,2658.86,324.86,8,398928.47,45.99,14.31,24.08,Aluminium,Material Recovery,Q1,2.6,97.4,176.19
EW100610,2023-02-01,2023,2,Feb,Mumbai,Maharashtra,Air Conditioner,Authorized Collection Center,Formal,2095,2027.63,67.37,1719.28,375.72,197.71,3,273257.11,82.07,97.31,79.42,Glass,Refurbishment,Q1,96.78,3.22,158.94
EW101140,2023-02-01,2023,2,Feb,Mumbai,Maharashtra,Mobile Phone,Scrap Dealer,Informal,375,71.19,303.81,140.86,234.14,17.73,1,16665.05,37.56,17.61,43.08,Copper,Dismantling,Q1,18.98,81.02,118.31
EW100011,2023-02-01,2023,2,Feb,Nagpur,Maharashtra,Laptop,Producer Take-back,Formal,3232,2551.22,680.78,3018.43,213.57,216.52,2,256673.12,93.39,90.22,91.34,Copper,Repair & Reuse,Q1,78.94,21.06,85.04
EW100060,2023-02-01,2023,2,Feb,Nashik,Maharashtra,Television,Producer Take-back,Formal,2196,2053.19,142.81,2040.87,155.13,133.58,2,196784.16,92.94,81.91,89.76,Non-ferrous Metals,Manual Sorting,Q1,93.5,6.5,96.42
EW100417,2023-02-01,2023,2,Feb,Nashik,Maharashtra,Printer,Authorized Collection Center,Formal,837,719.77,117.23,685.22,151.78,55.67,1,121100.08,81.87,95.48,86.96,Mixed/Other,Manual Sorting,Q1,85.99,14.01,176.73
EW100447,2023-02-01,2023,2,Feb,Nashik,Maharashtra,Printer,Informal Collector,Informal,1388,41.84,1346.16,599.93,788.07,152.94,4,93407.23,43.22,44.66,27.36,Glass,Landfill/Disposal,Q1,3.01,96.99,155.7
EW100921,2023-02-01,2023,2,Feb,Nashik,Maharashtra,Monitor,Producer Take-back,Formal,3575,2921.13,653.87,3354.15,220.85,427.33,3,470471.75,93.82,76.24,75.72,Glass,Landfill/Disposal,Q1,81.71,18.29,140.27
EW100435,2023-02-01,2023,2,Feb,Pune,Maharashtra,Television,Municipal Collection,Formal,3265,2615.36,649.64,2666.14,598.86,117.36,8,232510.8,81.66,86.47,83.53,Copper,Manual Sorting,Q1,80.1,19.9,87.21
EW100464,2023-02-01,2023,2,Feb,Pune,Maharashtra,Printer,Scrap Dealer,Informal,1644,101.13,1542.87,930.56,713.44,140.51,2,116570.46,56.6,17.36,36.59,Precious Metals,Manual Sorting,Q1,6.15,93.85,125.27
EW101076,2023-02-01,2023,2,Feb,Pune,Maharashtra,Tablet,Authorized Collection Center,Formal,2949,2151.37,797.63,2462.85,486.15,191.71,6,194041.68,83.51,85.37,87.67,Glass,Material Recovery,Q1,72.95,27.05,78.79
EW100553,2023-02-01,2023,2,Feb,Jaipur,Rajasthan,Air Conditioner,Informal Collector,Informal,1118,33.4,1084.6,724.28,393.72,82.04,4,72852.34,64.78,6.73,33.93,Copper,Landfill/Disposal,Q1,2.99,97.01,100.59
EW100784,2023-02-01,2023,2,Feb,Jaipur,Rajasthan,Small Appliance,Municipal Collection,Formal,4770,4542.7,227.3,3605.14,1164.86,384.67,4,608127.75,75.58,78.38,80.4,Non-ferrous Metals,Material Recovery,Q1,95.23,4.77,168.68
EW100368,2023-02-01,2023,2,Feb,Chennai,Tamil Nadu,Refrigerator,Informal Collector,Informal,2801,178.23,2622.77,835.11,1965.89,101.07,11,141698.3,29.81,22.22,25.36,Glass,Manual Sorting,Q1,6.36,93.64,169.68
EW100467,2023-02-01,2023,2,Feb,Hyderabad,Telangana,Refrigerator,Municipal Collection,Formal,950,832.04,117.96,730.39,219.61,110.01,2,101150.32,76.88,94.64,91.02,Ferrous Metals,Dismantling,Q1,87.58,12.42,138.49
EW100320,2023-02-01,2023,2,Feb,Lucknow,Uttar Pradesh,Desktop/PC,Scrap Dealer,Informal,2740,465.77,2274.23,1303.06,1436.94,205.57,4,62588.57,47.56,29.04,35.34,Mixed/Other,Dismantling,Q1,17.0,83.0,48.03
EW100801,2023-02-01,2023,2,Feb,Lucknow,Uttar Pradesh,Tablet,Authorized Collection Center,Formal,2966,2532.27,433.73,2567.07,398.93,336.22,2,445087.69,86.55,97.11,76.3,Glass,Landfill/Disposal,Q1,85.38,14.62,173.38
EW100059,2023-02-01,2023,2,Feb,Kolkata,West Bengal,Television,Scrap Dealer,Informal,2933,467.77,2465.23,1177.68,1755.32,208.62,10,126991.74,40.15,26.59,41.89,Glass,Repair & Reuse,Q1,15.95,84.05,107.83
EW100376,2023-02-01,2023,2,Feb,Kolkata,West Bengal,Mobile Phone,Retailer,Formal,2779,2576.34,202.66,2424.02,354.98,244.82,2,277117.34,87.23,77.1,84.06,Copper,Refurbishment,Q1,92.71,7.29,114.32
EW100589,2023-03-01,2023,3,Mar,Guwahati,Assam,Desktop/PC,Informal Collector,Informal,1056,194.25,861.75,453.91,602.09,49.61,3,50676.71,42.98,37.42,53.1,Plastic,Manual Sorting,Q1,18.39,81.61,111.64
EW100859,2023-03-01,2023,3,Mar,Guwahati,Assam,Desktop/PC,Informal Collector,Informal,566,140.08,425.92,350.71,215.29,51.13,2,32508.26,61.96,43.12,51.63,Precious Metals,Repair & Reuse,Q1,24.75,75.25,92.69
EW100992,2023-03-01,2023,3,Mar,Guwahati,Assam,Laptop,Producer Take-back,Formal,423,328.51,94.49,323.63,99.37,36.62,1,23463.76,76.51,86.23,80.59,Mixed/Other,Manual Sorting,Q1,77.66,22.34,72.5
EW100002,2023-03-01,2023,3,Mar,Delhi,Delhi,Refrigerator,Authorized Collection Center,Formal,2515,2426.91,88.09,2078.53,436.47,162.69,2,142337.2,82.65,80.78,91.4,Glass,Manual Sorting,Q1,96.5,3.5,68.48
EW100469,2023-03-01,2023,3,Mar,Delhi,Delhi,Television,Scrap Dealer,Informal,2343,380.03,1962.97,1097.69,1245.31,89.16,6,174232.78,46.85,39.25,24.47,Mixed/Other,Landfill/Disposal,Q1,16.22,83.78,158.73
EW100189,2023-03-01,2023,3,Mar,Ahmedabad,Gujarat,Mobile Phone,Authorized Collection Center,Formal,4538,3725.14,812.86,3274.65,1263.35,145.68,9,332330.62,72.16,81.94,96.6,Copper,Manual Sorting,Q1,82.09,17.91,101.49
EW101109,2023-03-01,2023,3,Mar,Ahmedabad,Gujarat,Television,Informal Collector,Informal,202,27.23,174.77,92.37,109.63,15.55,1,10167.31,45.73,5.35,20.08,Aluminium,Material Recovery,Q1,13.48,86.52,110.07
EW100070,2023-03-01,2023,3,Mar,Surat,Gujarat,Tablet,Producer Take-back,Formal,1359,1173.54,185.46,1078.22,280.78,76.79,3,157121.42,79.34,78.36,95.84,Mixed/Other,Material Recovery,Q1,86.35,13.65,145.72
EW100176,2023-03-01,2023,3,Mar,Surat,Gujarat,Mobile Phone,Authorized Collection Center,Formal,3596,2619.64,976.36,3257.34,338.66,128.82,8,125881.84,90.58,91.67,76.97,Aluminium,Repair & Reuse,Q1,72.85,27.15,38.65
EW100178,2023-03-01,2023,3,Mar,Surat,Gujarat,Small Appliance,Informal Collector,Informal,3078,848.91,2229.09,1100.64,1977.36,205.08,14,38988.66,35.76,6.59,47.18,Plastic,Material Recovery,Q1,27.58,72.42,35.42
EW100539,2023-03-01,2023,3,Mar,Surat,Gujarat,Mobile Phone,Authorized Collection Center,Formal,4674,3823.64,850.36,4276.09,397.91,169.54,4,724436.37,91.49,90.56,84.11,Glass,Repair & Reuse,Q1,81.81,18.19,169.42
EW100543,2023-03-01,2023,3,Mar,Surat,Gujarat,Tablet,Informal Collector,Informal,2304,466.98,1837.02,1457.03,846.97,179.3,6,252484.61,63.24,30.68,33.42,Aluminium,Landfill/Disposal,Q1,20.27,79.73,173.29
EW100101,2023-03-01,2023,3,Mar,Bengaluru,Karnataka,Refrigerator,Informal Collector,Informal,2350,377.73,1972.27,1254.02,1095.98,254.71,9,189670.77,53.36,18.58,56.67,Precious Metals,Material Recovery,Q1,16.07,83.93,151.25
EW100475,2023-03-01,2023,3,Mar,Bengaluru,Karnataka,Laptop,Scrap Dealer,Informal,1204,88.25,1115.75,658.34,545.66,41.78,5,41961.91,54.68,39.98,35.86,Non-ferrous Metals,Material Recovery,Q1,7.33,92.67,63.74
EW101147,2023-03-01,2023,3,Mar,Bengaluru,Karnataka,Desktop/PC,Authorized Collection Center,Formal,4954,4253.18,700.82,4173.52,780.48,589.17,7,186167.79,84.25,97.97,94.03,Copper,Manual Sorting,Q1,85.85,14.15,44.61
EW100584,2023-03-01,2023,3,Mar,Mysuru,Karnataka,Mobile Phone,Retailer,Formal,1804,1378.74,425.26,1354.16,449.84,88.66,3,146283.17,75.06,95.81,97.86,Precious Metals,Repair & Reuse,Q1,76.43,23.57,108.03
EW100941,2023-03-01,2023,3,Mar,Mysuru,Karnataka,Tablet,Scrap Dealer,Informal,1021,235.66,785.34,433.75,587.25,42.01,3,75075.52,42.48,36.72,46.04,Ferrous Metals,Material Recovery,Q1,23.08,76.92,173.08
EW100578,2023-03-01,2023,3,Mar,Kochi,Kerala,Mobile Phone,Retailer,Formal,636,499.95,136.05,568.92,67.08,46.86,1,45053.3,89.45,79.36,77.06,Non-ferrous Metals,Manual Sorting,Q1,78.61,21.39,79.19
EW100342,2023-03-01,2023,3,Mar,Bhopal,Madhya Pradesh,Laptop,Producer Take-back,Formal,1096,1050.58,45.42,966.93,129.07,114.0,2,107435.53,88.22,85.83,82.93,Mixed/Other,Landfill/Disposal,Q1,95.86,4.14,111.11
EW100232,2023-03-01,2023,3,Mar,Indore,Madhya Pradesh,Television,Retailer,Formal,448,325.49,122.51,402.37,45.63,13.9,1,70690.66,89.81,85.5,80.64,Plastic,Manual Sorting,Q1,72.65,27.35,175.69
EW100255,2023-03-01,2023,3,Mar,Indore,Madhya Pradesh,Tablet,Authorized Collection Center,Formal,1247,901.08,345.92,1082.51,164.49,97.53,2,166816.97,86.81,95.24,86.64,Plastic,Landfill/Disposal,Q1,72.26,27.74,154.1
EW101158,2023-03-01,2023,3,Mar,Indore,Madhya Pradesh,Mobile Phone,Scrap Dealer,Informal,911,195.69,715.31,299.22,611.78,65.73,4,32341.69,32.85,32.34,46.46,Precious Metals,Refurbishment,Q1,21.48,78.52,108.09
EW100007,2023-03-01,2023,3,Mar,Mumbai,Maharashtra,Printer,Authorized Collection Center,Formal,4573,3879.67,693.33,3731.16,841.84,313.15,3,188961.77,81.59,75.75,90.27,Glass,Manual Sorting,Q1,84.84,15.16,50.64
EW100068,2023-03-01,2023,3,Mar,Mumbai,Maharashtra,Refrigerator,Scrap Dealer,Informal,2223,615.93,1607.07,1092.11,1130.89,228.12,10,187777.29,49.13,10.64,38.29,Precious Metals,Dismantling,Q1,27.71,72.29,171.94
EW100956,2023-03-01,2023,3,Mar,Mumbai,Maharashtra,Laptop,Retailer,Formal,880,769.92,110.08,670.37,209.63,70.84,1,103505.31,76.18,98.56,84.87,Non-ferrous Metals,Material Recovery,Q1,87.49,12.51,154.4
EW100358,2023-03-01,2023,3,Mar,Nagpur,Maharashtra,Desktop/PC,Informal Collector,Informal,1295,240.06,1054.94,530.06,764.94,39.64,4,89378.31,40.93,37.48,57.13,Precious Metals,Refurbishment,Q1,18.54,81.46,168.62
EW100427,2023-03-01,2023,3,Mar,Nagpur,Maharashtra,Monitor,Municipal Collection,Formal,3766,3678.31,87.69,2781.35,984.65,337.47,6,466402.34,73.85,78.75,93.04,Mixed/Other,Manual Sorting,Q1,97.67,2.33,167.69
EW100762,2023-03-01,2023,3,Mar,Nashik,Maharashtra,Small Appliance,Producer Take-back,Formal,2384,1759.8,624.2,2017.84,366.16,273.05,1,282974.93,84.64,90.77,92.58,Plastic,Material Recovery,Q1,73.82,26.18,140.24
EW100860,2023-03-01,2023,3,Mar,Pune,Maharashtra,Tablet,Retailer,Formal,277,250.35,26.65,223.6,53.4,13.07,1,21378.21,80.72,77.06,77.26,Aluminium,Landfill/Disposal,Q1,90.38,9.62,95.61
EW100266,2023-03-01,2023,3,Mar,Jaipur,Rajasthan,Television,Informal Collector,Informal,3551,450.66,3100.34,1072.52,2478.48,113.7,9,159421.06,30.2,27.65,34.08,Mixed/Other,Manual Sorting,Q1,12.69,87.31,148.64
EW100306,2023-03-01,2023,3,Mar,Chennai,Tamil Nadu,Refrigerator,Informal Collector,Informal,304,40.14,263.86,113.03,190.97,14.54,1,18494.75,37.18,21.79,42.36,Precious Metals,Landfill/Disposal,Q1,13.2,86.8,163.63
EW100406,2023-03-01,2023,3,Mar,Chennai,Tamil Nadu,Tablet,Authorized Collection Center,Formal,4082,3514.88,567.12,3469.42,612.58,223.12,7,367543.75,84.99,78.2,80.82,Glass,Dismantling,Q1,86.11,13.89,105.94
EW100532,2023-03-01,2023,3,Mar,Chennai,Tamil Nadu,Monitor,Scrap Dealer,Informal,881,241.01,639.99,560.59,320.41,43.5,3,35653.47,63.63,13.54,50.42,Copper,Dismantling,Q1,27.36,72.64,63.6
EW100953,2023-03-01,2023,3,Mar,Chennai,Tamil Nadu,Television,Authorized Collection Center,Formal,201,180.39,20.61,141.99,59.01,11.97,1,6479.96,70.64,79.7,86.65,Plastic,Refurbishment,Q1,89.75,10.25,45.64
EW100163,2023-03-01,2023,3,Mar,Hyderabad,Telangana,Laptop,Retailer,Formal,2354,1759.43,594.57,2002.7,351.3,244.79,3,295324.95,85.08,98.15,79.89,Non-ferrous Metals,Repair & Reuse,Q1,74.74,25.26,147.46
EW101011,2023-03-01,2023,3,Mar,Lucknow,Uttar Pradesh,Air Conditioner,Authorized Collection Center,Formal,3000,2882.45,117.55,2675.71,324.29,177.26,7,368578.4,89.19,76.5,75.84,Plastic,Refurbishment,Q1,96.08,3.92,137.75
EW101022,2023-03-01,2023,3,Mar,Lucknow,Uttar Pradesh,Television,Informal Collector,Informal,3891,412.59,3478.41,1817.01,2073.99,452.49,8,236121.79,46.7,6.74,22.99,Ferrous Metals,Refurbishment,Q1,10.6,89.4,129.95
EW101036,2023-03-01,2023,3,Mar,Lucknow,Uttar Pradesh,Laptop,Authorized Collection Center,Formal,3008,2462.52,545.48,2700.93,307.07,175.02,5,348477.72,89.79,91.27,96.18,Mixed/Other,Landfill/Disposal,Q1,81.87,18.13,129.02
EW101066,2023-03-01,2023,3,Mar,Lucknow,Uttar Pradesh,Laptop,Municipal Collection,Formal,2685,2022.94,662.06,2260.24,424.76,94.07,6,237017.7,84.18,91.74,76.25,Precious Metals,Dismantling,Q1,75.34,24.66,104.86
EW100173,2023-03-01,2023,3,Mar,Kolkata,West Bengal,Printer,Scrap Dealer,Informal,2300,621.76,1678.24,1243.54,1056.46,132.08,10,94285.71,54.07,39.91,25.07,Aluminium,Manual Sorting,Q1,27.03,72.97,75.82
EW100245,2023-03-01,2023,3,Mar,Kolkata,West Bengal,Television,Producer Take-back,Formal,682,583.5,98.5,475.9,206.1,43.24,1,56986.58,69.78,87.92,81.45,Glass,Refurbishment,Q1,85.56,14.44,119.74
EW101021,2023-04-01,2023,4,Apr,Guwahati,Assam,Laptop,Authorized Collection Center,Formal,4382,3582.28,799.72,3624.11,757.89,461.0,3,548385.82,82.7,97.73,75.77,Aluminium,Manual Sorting,Q2,81.75,18.25,151.32
EW101046,2023-04-01,2023,4,Apr,Guwahati,Assam,Monitor,Producer Take-back,Formal,4393,3462.73,930.27,3362.55,1030.45,174.45,10,259573.79,76.54,87.49,84.39,Ferrous Metals,Manual Sorting,Q2,78.82,21.18,77.2
